ds,yhat,yhat_lower,yhat_upper
2024-06-12,568.4056099145749,21.561741385633855,1090.918380856533
2024-06-13,643.6201322139829,125.52614584449117,1184.592354916957
2024-06-14,561.7543694119232,22.469494116795495,1148.3161913661177
2024-06-15,556.0251266190231,58.07616982689384,1074.4264580244662
2024-06-16,587.6963644400038,30.170063960632096,1113.9189407175234
2024-06-17,479.9711618717895,-55.96752652244628,1044.9543289082742
2024-06-18,550.4762717022127,26.360579308685352,1046.371574494332
2024-06-19,565.5054035519668,77.14842928940158,1085.817046289718
2024-06-20,648.7756961360365,98.57948793234543,1186.8602120650014
2024-06-21,574.8898570405701,76.08799392316023,1105.8353207350758
2024-06-22,576.8023861665071,68.8836243253938,1128.3540208804732
2024-06-23,615.5210801570557,141.41889559271402,1147.2888926423298
2024-06-24,514.0066288821752,5.88488500314439,1056.070697437169
2024-06-25,589.6644866751835,94.634922848307,1106.4096403483427
2024-06-26,608.5949397503238,74.77273451200159,1122.7963205053775
2024-06-27,694.3556313763972,148.7851601808486,1201.9721921320177
2024-06-28,621.4288426453326,27.0608886059822,1181.266352798938
2024-06-29,622.6917893539492,69.90995830490111,1132.6356105520833
2024-06-30,659.1210061222033,176.63516496316007,1238.1299513401057
2024-07-01,553.6935358051177,47.72467739641547,1098.4693752960275
2024-07-02,623.8790499698532,122.38783475953468,1154.6950721786359
2024-07-03,635.8888027936247,127.32295532417221,1174.4842136181712
2024-07-04,713.4356995522757,183.8511146021266,1236.4720669639016
2024-07-05,631.1978354263074,100.46273423367943,1111.3374026953102
2024-07-06,622.2838599335377,106.91136942998642,1150.3120486544092
2024-07-07,647.9313671392672,87.78624634052161,1188.434150299074
2024-07-08,531.4011899773045,16.199389191259037,1090.8417712342418
2024-07-09,590.4619108062154,63.15673257704681,1099.6898081437569
2024-07-10,591.6306986443759,34.15763469930369,1090.427584445308
2024-07-11,658.9249778082456,106.07878860407442,1196.606712278457
2024-07-12,567.3175166538811,50.99928963853746,1100.4372839938328
2024-07-13,550.1935275137673,45.44357514414261,1083.201501271173
2024-07-14,569.0412101263025,-3.3623459522091212,1140.9338138185835
2024-07-15,447.33883837867324,-80.22308483258391,980.913310672113
2024-07-16,503.0329077748256,-41.99807048117655,1045.0064438244667
2024-07-17,502.7736366117557,-31.433825443704784,1025.9348325408355
2024-07-18,570.6624805560261,21.423338971904464,1106.6547463458337
2024-07-19,481.70437215997816,-52.17796065643361,994.4331186671506
2024-07-20,469.26336353900115,-31.710753826890027,973.8493937138902
2024-07-21,494.7531533725767,-24.76701771780756,1032.8906493830573
2024-07-22,381.5256071289714,-149.13248622819353,887.1648951831012
2024-07-23,447.35175686672585,-57.53737038388053,984.8761594390055
2024-07-24,458.66150307454564,-45.987632089736394,970.7070225227574
2024-07-25,539.2965701707363,35.030420565932204,1075.7647301503305
