month,revenue,transaction_volume,total_transactions,fraud_rate,anomaly_rate,new_customers,churn_rate,cac,ltv,active_customers
2024-06,10640.86,2128194.0,2593,1.7354415734670268,1.0026995757809487,127,15.748031496062993,75.41922202803926,26602.15,518
2024-07,15781.08,3156241.44,4151,1.5899783184774752,1.0840761262346423,146,13.698630136986301,69.41114826097285,39452.7,830
2024-08,20469.77,4094037.9,4267,1.546754159831263,0.843684087180689,154,12.337662337662337,61.085015191551264,51174.425,853
2024-09,17398.56,3479696.85,4202,1.4278914802475011,0.9519276534983341,132,16.666666666666664,106.2292806743913,43496.4,840
2024-10,17083.61,3416781.33,4279,1.5891563449404067,0.817948118719327,162,19.1358024691358,118.83172765096289,42709.025,855
2024-11,21618.170000000002,4323617.33,4175,1.5808383233532934,0.8862275449101796,115,11.304347826086957,106.10764892710912,54045.425,835
2024-12,15479.29,3095848.31,4240,1.3443396226415094,0.7547169811320755,135,14.074074074074074,46.12636997181915,38698.225000000006,848
2025-01,18380.22,3675955.68,4164,1.344860710854947,1.1287223823246877,141,12.76595744680851,88.82608547805745,45950.55,832
2025-02,18999.25,3799849.46,3932,1.3987792472024414,0.9409969481180062,127,21.25984251968504,73.90137475123719,47498.125,786
2025-03,19331.27,3866213.81,4281,1.7285680915673909,1.0044382153702407,147,17.687074829931973,94.69655661192148,48328.175,856
2025-04,15689.56,3137883.29,4058,1.6510596352883193,0.7392804337111878,131,10.687022900763358,86.30254053152586,39223.9,811
2025-05,17884.63,3576872.2,4212,1.1870845204178537,1.0446343779677114,132,12.121212121212121,68.9317364181063,44711.575000000004,842
2025-06,18143.34,3628706.47,4175,1.8203592814371259,0.8622754491017964,140,17.142857142857142,88.55687657260542,45358.35,835
2025-07,17103.82,3420762.83,4148,1.0366441658630665,0.9884281581485053,140,16.428571428571427,99.0720085817533,42759.55,829
2025-08,15884.47,3176895.46,4186,1.4572384137601528,0.8122312470138557,137,16.05839416058394,88.44818771842046,39711.174999999996,837
2025-09,16848.4,3369630.09,4033,1.760476072402678,1.0414083808579222,129,19.379844961240313,69.08856133458909,42121.0,806
2025-10,17564.83,3513022.06,4245,1.4840989399293287,1.1071849234393405,121,13.223140495867769,90.51774503923846,43912.075000000004,849
2025-11,14520.52,2904093.07,4182,1.4586322333811572,0.9803921568627451,151,12.582781456953644,116.37131284628099,36301.3,836
2025-12,22455.43,4491051.71,4314,1.0199350950394066,1.1821974965229485,134,16.417910447761194,60.57179327293574,56138.575,862
2026-01,17317.36,3463530.09,4292,1.4445479962721341,1.1416589002795898,133,15.037593984962406,69.54362289257517,43293.4,858
2026-02,16478.56,3295708.76,3767,1.5131404300504379,1.0883992567029468,108,18.51851851851852,71.4998151163239,41196.4,753
2026-03,17357.96,3471523.58,4212,1.638176638176638,1.0683760683760684,150,16.0,116.27115373138395,43394.899999999994,842
2026-04,15061.84,3012315.65,4070,1.4742014742014742,1.1056511056511056,143,10.48951048951049,85.89995521726934,37654.6,814
2026-05,16668.87,3333715.66,4255,1.3866039952996476,1.2925969447708578,135,20.0,99.14296415672541,41672.174999999996,851
2026-06,6970.01,1394043.81,1567,1.595405232929164,1.148691767708998,46,13.043478260869565,117.95137494337764,17425.025,313
